City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
151,souillac,-20.5167,57.5167,71.98,88,20,3.44,MU,1635625678
152,acari,-15.4311,-74.6158,79.5,50,11,9.71,PE,1635625679
153,regeneracao,-6.2378,-42.6883,89.98,41,43,6.76,BR,1635625680
154,arraial do cabo,-22.9661,-42.0278,73.26,83,75,10.36,BR,1635625681
155,waingapu,-9.6567,120.2641,80.78,80,100,2.68,ID,1635625115
156,kapaa,22.0752,-159.319,81.48,87,20,1.01,US,1635625441
157,coihaique,-45.5752,-72.0662,62.55,20,0,10.36,CL,1635625663
158,karratha,-20.7377,116.8463,72.46,70,0,6.4,AU,1635625684
159,upernavik,72.7868,-56.1549,26.56,57,100,7.58,GL,1635625685
160,usinsk,65.9939,57.5281,9.16,93,100,7.85,RU,1635625686
161,galeana,24.8333,-100.0667,72.01,27,0,1.03,MX,1635625686
162,san patricio,28.017,-97.5169,87.06,17,0,2.39,US,1635625687
163,rosarito,32.3333,-117.0333,79.93,72,39,8.52,MX,1635625688
164,pochutla,15.7432,-96.4661,85.82,61,44,7.81,MX,1635625448
165,soyo,-6.1349,12.3689,77.65,85,96,10.38,AO,1635625689
166,athabasca,54.7169,-113.2854,39.61,34,0,14.81,CA,1635625478
167,jamsa,61.8642,25.19,46.35,94,78,7.29,FI,1635625691
168,kaitangata,-46.2817,169.8464,53.85,75,100,3.76,NZ,1635625691
169,kavaratti,10.5669,72.642,81.97,72,93,2.84,IN,1635625692
170,igarka,67.4667,86.5833,9.16,97,96,7.2,RU,1635625454
171,pierre,44.3683,-100.351,52.86,60,90,1.01,US,1635625519
172,beringovskiy,63.05,179.3167,5.58,96,97,18.23,RU,1635625694
173,vestmannaeyjar,63.4427,-20.2734,43.74,78,75,5.48,IS,1635625695
174,lorengau,-2.0226,147.2712,81.63,79,83,6.78,PG,1635625696
175,vianopolis,-16.7419,-48.5164,68.83,83,100,11.16,BR,1635625697
176,vieste,41.8825,16.175,57.7,71,7,7.81,IT,1635625698
177,ahipara,-35.1667,173.1667,61.86,94,100,7.87,NZ,1635625664
178,lekoni,-1.5843,14.2591,75.47,78,91,2.42,GA,1635625699
179,aklavik,68.2191,-135.0107,17.6,86,40,3.44,CA,1635625700
180,sao jose da coroa grande,-8.8978,-35.1478,78.31,70,0,8.52,BR,1635625701
181,ancud,-41.8697,-73.8203,62.13,47,0,2.39,CL,1635625703
182,xuddur,4.1213,43.8894,77.88,44,79,9.06,SO,1635625704
183,cabra,37.4725,-4.4421,67.44,89,100,15.37,ES,1635625704
184,reyes,-14.3167,-67.3833,101.53,24,11,5.32,BO,1635625705
185,bud,39.447,-86.1758,57.29,88,100,10.8,US,1635625706
186,mount isa,-20.7333,139.5,74.97,23,75,10.36,AU,1635625414
187,panjab,34.388,67.0233,32.11,33,2,4.61,AF,1635625707
188,padang,-0.9492,100.3543,77.47,90,100,3.71,ID,1635625708
189,aswan,24.0934,32.907,86.7,25,74,6.71,EG,1635625655
190,okhotsk,59.3833,143.3,10.78,70,0,20.78,RU,1635625709
191,albert,50.0009,2.651,51.57,94,90,8.05,FR,1635625711
192,lavrentiya,65.5833,-171.0,10.99,79,41,6.06,RU,1635625614
193,salalah,17.0151,54.0924,80.69,69,0,1.14,OM,1635625712
194,kieta,-6.2167,155.6333,78.98,85,94,4.25,PG,1635625713
195,oranjestad,12.524,-70.027,82.35,74,20,13.8,AW,1635625714
196,komsomolskiy,40.4272,71.7189,41.72,70,100,6.91,UZ,1635625715
197,klaksvik,62.2266,-6.589,47.32,92,100,8.68,FO,1635625431
198,puerto baquerizo moreno,-0.9,-89.6,70.79,83,75,12.66,EC,1635625716
199,miri,4.4148,114.0089,75.34,100,40,4.61,MY,1635625717
200,lagoa,39.05,-27.9833,70.0,89,100,24.65,PT,1635625558
201,imbituba,-28.24,-48.6703,67.89,95,100,12.24,BR,1635625586
202,toowoomba,-27.55,151.9667,61.83,81,17,3.31,AU,1635625719
203,barmer,25.75,71.3833,76.84,21,2,4.76,IN,1635625720
204,kavieng,-2.5744,150.7967,82.18,78,34,12.57,PG,1635625477
205,nouakchott,18.0858,-15.9785,78.73,64,100,7.23,MR,1635625721
206,mayo,38.8876,-76.5119,65.43,70,1,4.0,US,1635625539
207,elizabeth city,36.2946,-76.2511,68.05,59,1,7.0,US,1635625307
208,panama city,8.9936,-79.5197,87.06,73,40,9.22,PA,1635625723
209,barrow,71.2906,-156.7887,15.82,79,90,0.0,US,1635625724
210,korla,41.7597,86.1469,48.79,33,57,0.69,CN,1635625725
211,cabo rojo,18.0866,-67.1457,86.68,68,14,4.0,PR,1635625484
212,sambava,-14.2667,50.1667,74.64,87,69,8.57,MG,1635625501
213,fenoarivo,-18.933,47.4354,60.87,94,20,3.44,MG,1635625727
214,tigzirt,36.8886,4.1198,70.0,50,100,7.52,DZ,1635625727
215,eureka,40.8021,-124.1637,65.68,96,62,5.99,US,1635625728
216,saint george,37.1041,-113.5841,81.07,34,1,1.01,US,1635625730
217,katakwi,1.8911,33.9661,70.45,73,98,3.94,UG,1635625730
218,umm lajj,25.0213,37.2685,83.57,48,64,8.86,SA,1635625490
219,concarneau,47.875,-3.9225,57.81,83,98,12.46,FR,1635625732
220,bouna,9.2667,-3.0,81.61,63,100,5.5,CI,1635625733
221,sao filipe,14.8961,-24.4956,79.86,75,77,10.18,CV,1635625733
222,leh,34.1667,77.5833,25.09,57,3,3.69,IN,1635625734
223,morehead,37.2711,-87.1764,56.95,91,90,5.01,US,1635625567
224,hereford,52.0568,-2.7148,49.24,92,7,6.49,GB,1635625735
225,rawson,-43.3002,-65.1023,51.08,63,79,27.47,AR,1635625736
226,muzhi,65.3667,64.6667,0.68,94,21,4.74,RU,1635625737
227,lahore,31.5497,74.3436,69.78,64,0,5.75,PK,1635625623
228,mount gambier,-37.8333,140.7667,40.91,93,20,1.14,AU,1635625738
229,hilton head island,32.2163,-80.7526,65.98,74,75,8.05,US,1635625153
230,hambantota,6.1241,81.1185,78.42,84,81,2.3,LK,1635625740
231,nanao,37.05,136.9667,58.73,68,100,1.14,JP,1635625741
232,macusani,-14.0833,-70.4333,42.55,74,99,8.86,PE,1635625741
233,rocha,-34.4833,-54.3333,71.04,79,100,9.6,UY,1635625526
234,okha,53.5739,142.9478,29.03,59,100,16.89,RU,1635625743
235,amahai,-3.3333,128.9167,78.51,83,93,1.63,ID,1635625744
236,jacareacanga,-6.2222,-57.7528,90.48,47,55,2.1,BR,1635625538
237,concordia,-31.393,-58.0209,89.78,46,40,8.99,AR,1635625745
238,nalut,30.3333,10.85,68.56,36,9,5.19,LY,1635625746
239,virginia beach,36.8529,-75.978,67.05,60,96,1.99,US,1635625574
240,cabo san lucas,22.8909,-109.9124,89.62,67,11,9.24,MX,1635625587
241,fortuna,40.5982,-124.1573,65.43,74,75,1.99,US,1635625744
242,kendari,-3.945,122.4989,74.26,94,78,2.86,ID,1635625521
243,hervey bay,-25.2986,152.8535,77.04,86,99,11.56,AU,1635625640
244,juba,4.8517,31.5825,74.17,76,92,0.74,SS,1635625750
245,parobe,-29.6286,-50.8347,84.16,58,97,5.99,BR,1635625751
246,qobustan,40.0824,49.412,53.71,73,100,2.75,AZ,1635625751
247,vammala,61.3333,22.9,46.58,96,98,6.2,FI,1635625752
248,gayny,60.3071,54.3241,34.48,89,100,5.44,RU,1635625753
249,half moon bay,37.4636,-122.4286,72.63,84,90,3.44,US,1635625754
250,nabire,-3.3667,135.4833,74.55,92,86,3.69,ID,1635625755
251,fethiye,36.6217,29.1164,64.27,67,100,3.18,TR,1635625755
252,waddan,29.1614,16.139,71.83,31,100,6.06,LY,1635625756
253,ayagoz,47.9714,80.4392,38.48,78,100,11.1,KZ,1635625757
254,bismil,37.8486,40.6658,59.11,74,99,3.13,TR,1635625758
255,menongue,-14.6585,17.691,71.73,63,92,3.74,AO,1635625726
256,petropavlovsk-kamchatskiy,53.0452,158.6483,27.19,80,0,2.24,RU,1635625685
257,camacha,33.0833,-16.3333,69.22,88,20,8.05,PT,1635625760
258,nizhniy kuranakh,58.8353,125.4869,15.85,79,97,3.04,RU,1635625761
259,puerto madryn,-42.7692,-65.0385,54.01,58,18,31.7,AR,1635625761
260,noumea,-22.2763,166.4572,73.99,99,5,2.39,NC,1635625762
261,coquimbo,-29.9533,-71.3436,60.53,77,75,11.5,CL,1635625763
262,gravdal,68.1214,13.5031,46.85,94,100,9.22,NO,1635625764
263,haines junction,60.7522,-137.5108,39.15,56,100,9.22,CA,1635625626
264,makinsk,52.6292,70.4169,28.65,96,100,21.39,KZ,1635625766
265,atar,20.5169,-13.0499,87.15,24,100,1.63,MR,1635625766
266,rafaela,-31.2503,-61.4867,97.0,24,0,5.99,AR,1635625767
267,muros,42.7762,-9.0603,64.24,90,100,13.22,ES,1635625768
268,los llanos de aridane,28.6585,-17.9182,65.95,79,20,3.0,ES,1635625487
269,shintomi,32.0785,131.4723,60.1,95,100,6.69,JP,1635625769
270,zyryanka,65.75,150.85,0.79,94,100,7.54,RU,1635625771
271,salta,-24.7859,-65.4117,89.89,37,40,8.01,AR,1635625772
272,nieuw amsterdam,5.8833,-55.0833,86.02,71,40,2.3,SR,1635625773
273,michigan city,41.7075,-86.895,55.42,85,90,10.36,US,1635625629
274,price,39.5994,-110.8107,64.72,38,1,5.75,US,1635625550
275,samarai,-10.6167,150.6667,82.18,80,98,12.84,PG,1635625516
276,hamilton,39.1834,-84.5333,58.19,93,90,4.0,US,1635625602
277,belinskiy,52.9647,43.4165,41.52,93,11,7.85,RU,1635625777
